-90026057, 89146405, 20351298
-91235775, 91192680, 20039532
-92443341, 91621166, 20676220
-93664770, 94062364, 20697248
-94903409, 96127125, 21526470
-96195304, 102334886, 21541956
-97491756, 104228015, 21326705
-98756256, 102135552, 21663504
-100023795, 102911956, 22518419
-101280207, 102522994, 23128490
-102534536, 103053852, 23685291
-103739048, 99352600, 23630432
-102972844, 97348086, 24533430
-102206754, 96211010, 24584670
-101439189, 95369333, 24796760
-100675048, 94278624, 25279648
-99909712, 93410080, 25497576
-101143216, 97745568, 25407878
-100353547, 95350265, 25468142
-99596251, 90605378, 24790920
-98459193, 86660376, 24421894
-97316707, 86202804, 24248882
-96194943, 84155253, 23046777
-95064360, 83947770, 22948280
-93948825, 82236979, 22025260
-92831674, 81100360, 22293384
-91715631, 80380344, 21710803
-90588755, 80448098, 21440496
-89447181, 80713025, 21312999
-88298271, 80127516, 21451210
-87155811, 78834562, 20998414
-86043851, 75962914, 20042964
-84936586, 75012318, 19387009
-83795145, 76238240, 19977078
-82663171, 74659503, 19626285
-81548683, 72743112, 18915936
-82338981, 76735386, 18646708
-81198796, 75087948, 18106938
-81994186, 77386662, 18602988
-82777421, 77025280, 17958100
-81654343, 75072752, 17106210
-82440212, 77015280, 17328556
-83222959, 77548266, 16939983
-84016803, 79855618, 17280480
-84815417, 80767466, 16576360
-85608746, 81204984, 16299318
-86398841, 81966350, 16201995
-87225014, 86135020, 16136524
-88040544, 86664267, 16435601
-88870576, 88736560, 16050420
-89698529, 89603064, 15915247
-90526479, 90183960, 15320272
-91368143, 92044953, 14774253
-92230005, 95737408, 15373532
-93100806, 97130130, 14756765
-93979185, 99080606, 14756280
-94856110, 99722925, 14341570
-95741072, 101186304, 13863084
-96620331, 101578303, 13603140
-97495199, 102076310, 13338160
-98383937, 104686164, 13327142
-99262623, 103922900, 12522354
-100122490, 102844058, 12196107
-100973872, 102508266, 11673676
-101831034, 104639451, 11906625
-100666810, 102393924, 11866788
-99509036, 100371275, 11971927
-98728250, 96418600, 13571600
-97940684, 96191667, 13805025
-97153273, 95412800, 14150364
-96371243, 94067205, 14455595
-95604708, 92174496, 15102048
-94844469, 90480850, 15183089
-94076623, 90867544, 15906400
-93319748, 89548770, 16687215
-92588129, 86044748, 16699300
-91880104, 83232786, 17149543
-91156090, 84147300, 17720304
-90432001, 82870926, 17598825
-89694396, 82838448, 17521726
-88941828, 82558041, 17084625
-88195764, 80739466, 16963496
-87457980, 79220510, 17285758
-86733120, 77095956, 17365410
-86006822, 76370458, 17638348
-85259391, 77807176, 18532204
-84499786, 78220080, 19164975
-83743781, 76871840, 19259942
-82994823, 75430859, 19556985
-82256867, 73298706, 19370016
-81519658, 72548861, 19883448
-80793614, 70686688, 19996312
-80068338, 69812700, 20350440
-79347082, 68795210, 20840900
-78601308, 69263714, 20507444
-77858999, 67956264, 20555856
-79010302, 69227360, 20907249
-78273192, 67880952, 21390824
-77537515, 66950515, 21765240
-78711511, 68926392, 22968610
-79870602, 69116473, 22715030
-81033980, 69759134, 23834196
-80312721, 68700081, 23962342
-81489137, 70791286, 24175470
-82685399, 73206825, 24438981
-83922959, 76959804, 25192272
-85153977, 77475706, 25406920
-86399478, 79628094, 25607592
-87656322, 81595387, 25758965
-88885704, 80460400, 25940732
-90102641, 80092233, 26692848
-91342262, 83092732, 26702810
-92569235, 83471440, 26333867
-93805042, 84518952, 27555480
-95053686, 86136960, 28467428
-96288854, 86304268, 28258860
-97527485, 87450834, 28714227
-98761841, 88087824, 28936392
-99988624, 88986828, 28366375
-101219519, 90569520, 28295442
-102483396, 94218579, 29020516
-103735916, 94362560, 29035520
-105008231, 97401132, 29023839
-106302960, 100438530, 29410420
-107589350, 100950990, 29310988
-108429628, 101977728, 28858700
-109722381, 103267073, 29886864
-111014057, 104297480, 30018912
-112293062, 103993263, 30399544
-113115532, 104767300, 29726796
-113933961, 105480360, 29596961
-115234584, 108239544, 31607532
